"","stat.Text","stat.label"
"1","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"2","RT ANOMALY PresidentTrump POTUSWe will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmer sMUrCnsbl","negative"
"3","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"4","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"5","PresidentTrump is the same man today as he was on Dayof his caign He hasnt let the SWAMP change him We love yo","positive"
"6","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS","positive"
"7","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"8","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS","positive"
"9","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"10","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"11","PresidentTrump is the same man today as he was on Dayof his caign He hasnt let the SWAMP change him We love yo","positive"
"12","KoolAidMan AlEatsSteak PresidentTrump WhiteHouseCorrespondentsDinner Have another steak Big Al yJupK","neutral"
"13","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"14","Thank You PresidentTrumpan amazingdays MAGA Trump holds caignstyle rally on his th day in office","positive"
"15","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"16","McCain Said He Died In A Failed MissionPresidentTrump Honored Hero NavySealRyan OwensWho Saved American Lives","neutral"
"17","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"18","PresidentTrump may have denigrated HRCs actions CROOKED but NEVER called her","negative"
"19","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist","positive"
"20","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"21","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"22","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"23","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"24","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"25","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"26","PresidentTrump is the same man today as he was on Dayof his caign He hasnt let the SWAMP change him We love yo","positive"
"27","KoolAidMan AlEatsSteak PresidentTrump WhiteHouseCorrespondentsDinner Have another steak Big Al yJupKw","neutral"
"28","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"29","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"30","PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention","neutral"
"31","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"32","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"33","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"34","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"35","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"36","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"37","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"38","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"39","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist","positive"
"40","PresidentTrump is the same man today as he was on Dayof his caign He hasnt let the SWAMP change him We love yo","positive"
"41","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"42","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS","positive"
"43","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"44","Thank You PresidentTrumpan amazingdays MAGA Trump holds caignstyle rally on his th day in office","positive"
"45","YOU ROCK MAGA PresidentTrump WHYXkbuN","neutral"
"46","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"47","The LawandOrder Court
is NOW in SESSION
Thank YOUBless YOU
PresidentTRUMP
DrainTheS","neutral"
"48","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"49","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS","positive"
"50","Congratulations PresidentTrump I can sleep better knowing my Sailor will serve under your leadership Its an honor","positive"
"51","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS","positive"
"52","Thank You PresidentTrumpan amazingdays MAGA Trump holds caignstyle rally on his th day in officeamNGYhNU","positive"
"53","WWSERSThey thought you were
wearin BODY ARMOR
PresidentTrump
LawandOrder MAGA
Drai","neutral"
"54","And NOW a WORD
from GRANNY and our
AMERICAN PATRIOTS
PresidentTrump
LawandOrder MAGA
MASA","neutral"
"55","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"56","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"57","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"58","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"59","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"60","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump","positive"
"61","The left ever since PresidentTrump won in one videosundaymotivation MAGA kdHHjS","positive"
"62","PresidentTrump
MLKs Niece Calls Trumps FirstDays the Most ProLife Shes Ever Seen video
JHug","neutral"
"63","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"64","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"65","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"66","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"67","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"68","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS","positive"
"69","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"70","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"71","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"72","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"73","With so many Liberalsidiots that are against PresidentTrump in Canada I will stand alone and behind him if need be","neutral"
"74","Looking forward to you building wall PresidentTrumpeIrfME","neutral"
"75","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS","positive"
"76","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"77","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"78","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the","negative"
"79","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"80","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"81","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"82","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"83","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"84","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"85","PresidentTrump has had a great firstand in other news HillaryClinton is somehow still not in prison","negative"
"86","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"87","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS PbRFVQ","positive"
"88","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"89","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the","negative"
"90","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"91","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"92","Glorious The libtards on bbcqt basically coming out to say that PresidentTrump is worse than the NorthKorean dictator Insan","negative"
"93","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"94","PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention","neutral"
"95","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"96","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"97","USA is now under new management PresidentTrumpteam MAGA stSryamv","neutral"
"98","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"99","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"100","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"101","Be Proud to be an American Be Proud to Stand Tall during Our NationalAnthemBe Proud that PresidentTrump wants to","positive"
"102","PresidentTrump
MLKs Niece Calls Trumps FirstDays the Most ProLife Shes Ever Seen video
JHug","neutral"
"103","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"104","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"105","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"106","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"107","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"108","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"109","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"110","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"111","Followfollow
MakingAmericaGreatAgain TrumpTrainNationalist Patriot NotPCAmericaFirst PresidentTrump
Republic","positive"
"112","Love this little girl in the audience behind PresidentTrump at the TrumpRallytrumpdays iMJuYZkODy","positive"
"113","Thank You Lord For King AbdullahpresidentTrump
StrongerTogetherMakingAmericaGreatAgain TrumpTrainAmericaFir","positive"
"114","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"115","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
