"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @bfraser747: Don't ever forget the lifestyle #PresidentTrump gave up to #MAGA not mention his family. He did it for us

#First100Days #T…",FALSE,0,NA,2017-04-30 05:29:22,FALSE,NA,"858553846360031232",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","yarrajewel",324,TRUE,FALSE,NA,NA
"2","RT ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump POTUS""<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>We will make #AmericaSafeAgain &amp; we will #MAGA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>Thank you,#Godbless<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>you""#Amer… https://t.co/sMUrCnsbl0",FALSE,0,NA,2017-04-30 05:29:13,FALSE,NA,"858553807843799040",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","wobblewalker",0,FALSE,FALSE,NA,NA
"3","RT @bfraser747: #First100Days  

This short video shows some of the executive orders #PresidentTrump signed in his first #100Days. 

#TheTr…",FALSE,0,NA,2017-04-30 05:28:45,FALSE,NA,"858553688071196673",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ftvoc",596,TRUE,FALSE,NA,NA
"4","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS""<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>We will make #AmericaSafeAgain &amp; we will #MAGA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>Thank you,#Godbless<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>you""#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirs…",FALSE,0,NA,2017-04-30 05:28:21,FALSE,NA,"858553588431421440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lindanye6615",263,TRUE,FALSE,NA,NA
"5","RT @JaimeTennille: #PresidentTrump is the same man today as he was on Day 1 of his campaign. He hasn't let the SWAMP change him. We love yo…",FALSE,0,NA,2017-04-30 05:28:05,FALSE,NA,"858553521997795328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","proudamericanmm",5,TRUE,FALSE,NA,NA
"6","RT @DonnaWR8: Another great <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> clip @TEN_GOP showing INCREDIBLE line for #PresidentTrump #TrumpRally<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>

#MSM LIES<U+2620><U+FE0F>

#MAGA #POTUS45 https://…",FALSE,0,NA,2017-04-30 05:28:01,FALSE,NA,"858553503672930304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oklegacy",7,TRUE,FALSE,NA,NA
"7","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS""<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>We will make #AmericaSafeAgain &amp; we will #MAGA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>Thank you,#Godbless<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>you""#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirs…",FALSE,0,NA,2017-04-30 05:27:33,FALSE,NA,"858553389407322112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wobblewalker",263,TRUE,FALSE,NA,NA
"8","RT @DonnaWR8: Another great <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> clip @TEN_GOP showing INCREDIBLE line for #PresidentTrump #TrumpRally<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>

#MSM LIES<U+2620><U+FE0F>

#MAGA #POTUS45 https://…",FALSE,0,NA,2017-04-30 05:27:29,FALSE,NA,"858553370323431425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","derekmendez10",7,TRUE,FALSE,NA,NA
"9","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS""<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>We will make #AmericaSafeAgain &amp; we will #MAGA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>Thank you,#Godbless<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>you""#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirs…",FALSE,0,NA,2017-04-30 05:27:28,FALSE,NA,"858553367727034368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MiriamUSA82",263,TRUE,FALSE,NA,NA
"10","RT @bfraser747: #First100Days  

This short video shows some of the executive orders #PresidentTrump signed in his first #100Days. 

#TheTr…",FALSE,0,NA,2017-04-30 05:27:22,FALSE,NA,"858553342854909952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pmpatl",596,TRUE,FALSE,NA,NA
"11","RT @JaimeTennille: #PresidentTrump is the same man today as he was on Day 1 of his campaign. He hasn't let the SWAMP change him. We love yo…",FALSE,0,NA,2017-04-30 05:27:20,FALSE,NA,"858553332591472640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CherryBomb2016",5,TRUE,FALSE,NA,NA
"12","RT @raidermike5569: #KoolAidMan #AlEatsSteak #PresidentTrump #WhiteHouseCorrespondentsDinner Have another steak Big Al https://t.co/yJu74pK…",FALSE,0,NA,2017-04-30 05:27:06,FALSE,NA,"858553273665568768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","raidermike5569",1,TRUE,FALSE,NA,NA
"13","RT @bfraser747: ""The 8yr assault on your 2nd Amendment freedoms has come to a crashing end' ~ #PresidentTrump 

#MAGA #Trump45 #2A

https:/…",FALSE,0,NA,2017-04-30 05:26:48,FALSE,NA,"858553198633566208",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ftvoc",495,TRUE,FALSE,NA,NA
"14","RT @ROCKONDUDE2: Thank You #PresidentTrump 4 an amazing 100 days! #MAGA<U+26A1> Trump holds campaign-style rally on his 100th day in office

https…",FALSE,0,NA,2017-04-30 05:26:40,FALSE,NA,"858553166174060544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pinkk9lover",2,TRUE,FALSE,NA,NA
"15","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS""<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>We will make #AmericaSafeAgain &amp; we will #MAGA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>Thank you,#Godbless<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>you""#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirs…",FALSE,0,NA,2017-04-30 05:26:35,FALSE,NA,"858553145873616897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SandyRidge33",263,TRUE,FALSE,NA,NA
"16","RT @DrMartyFox: #McCain Said He Died In A Failed Mission

#PresidentTrump Honored Hero #NavySeal 
Ryan Owens 

Who Saved #American Lives…",FALSE,0,NA,2017-04-30 05:26:34,FALSE,NA,"858553142262329344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chrisreed43",1020,TRUE,FALSE,NA,NA
"17","RT @bfraser747: ""The 8yr assault on your 2nd Amendment freedoms has come to a crashing end' ~ #PresidentTrump 

#MAGA #Trump45 #2A

https:/…",FALSE,0,NA,2017-04-30 05:26:19,FALSE,NA,"858553076298285056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","khayman2000",495,TRUE,FALSE,NA,NA
"18","RT @Inadvertantview: @LouisJohnson @KazeSkyz @PARISDENNARD #PresidentTrump may have denigrated HRC's actions #CROOKED but NEVER called her…",FALSE,0,NA,2017-04-30 05:26:13,FALSE,NA,"858553052134916096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","DavidWa39715864",3,TRUE,FALSE,NA,NA
"19","RT @debra_derienzo: Congratulations #PresidentTrump <ed><U+00A0><U+00BD><ed><U+00B1><U+0094>on your #First100days We are so proud of you in every way<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>
#AmericaFirst #Nationalist…",FALSE,0,NA,2017-04-30 05:26:08,FALSE,NA,"858553029687169024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lindanye6615",139,TRUE,FALSE,NA,NA
