"","Text","Score","Positive","Negative"
"1","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"2","RT ANOMALY PresidentTrump POTUSWe will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmer sMUrCnsbl",-1,0,1
"3","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"4","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"5","PresidentTrump is the same man today as he was on Dayof his caign He hasnt let the SWAMP change him We love yo",1,1,0
"6","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS",1,1,0
"7","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"8","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS",1,1,0
"9","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"10","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"11","PresidentTrump is the same man today as he was on Dayof his caign He hasnt let the SWAMP change him We love yo",1,1,0
"12","KoolAidMan AlEatsSteak PresidentTrump WhiteHouseCorrespondentsDinner Have another steak Big Al yJupK",0,0,0
"13","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"14","Thank You PresidentTrumpan amazingdays MAGA Trump holds caignstyle rally on his th day in office",2,2,0
"15","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"16","McCain Said He Died In A Failed MissionPresidentTrump Honored Hero NavySealRyan OwensWho Saved American Lives",0,2,2
"17","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"18","PresidentTrump may have denigrated HRCs actions CROOKED but NEVER called her",-1,0,1
"19","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"20","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"21","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"22","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"23","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"24","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"25","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"26","PresidentTrump is the same man today as he was on Dayof his caign He hasnt let the SWAMP change him We love yo",1,1,0
"27","KoolAidMan AlEatsSteak PresidentTrump WhiteHouseCorrespondentsDinner Have another steak Big Al yJupKw",0,0,0
